fraksiya,t,vx,vy,vz,x,y,z
PM2.5,7.425000,5.000000,0.000000,-0.000282,37.1256,0.0000,19.9979
PM2.5,7.500000,5.000000,0.000000,-0.000282,37.5006,0.0000,19.9979
PM2.5,7.575000,5.000000,0.000000,-0.000282,37.8756,0.0000,19.9979
PM2.5,7.650000,5.000000,0.000000,-0.000282,38.2506,0.0000,19.9978
PM2.5,7.725000,5.000000,0.000000,-0.000282,38.6256,0.0000,19.9978
PM2.5,7.800000,5.000000,0.000000,-0.000282,39.0006,0.0000,19.9978
PM2.5,7.875000,5.000000,0.000000,-0.000282,39.3756,0.0000,19.9978
PM2.5,7.950000,5.000000,0.000000,-0.000282,39.7506,0.0000,19.9978
PM2.5,8.025000,5.000000,0.000000,-0.000282,40.1256,0.0000,19.9977
PM2.5,8.100000,5.000000,0.000000,-0.000282,40.5006,0.0000,19.9977
PM2.5,8.175000,5.000000,0.000000,-0.000282,40.8756,0.0000,19.9977
PM2.5,8.250000,5.000000,0.000000,-0.000282,41.2506,0.0000,19.9977
PM2.5,8.325000,5.000000,0.000000,-0.000282,41.6256,0.0000,19.9977
PM2.5,8.400000,5.000000,0.000000,-0.000282,42.0006,0.0000,19.9976
PM2.5,8.475000,5.000000,0.000000,-0.000282,42.3756,0.0000,19.9976
PM2.5,8.550000,5.000000,0.000000,-0.000282,42.7506,0.0000,19.9976
PM2.5,8.625000,5.000000,0.000000,-0.000282,43.1256,0.0000,19.9976
PM2.5,8.700000,5.000000,0.000000,-0.000282,43.5006,0.0000,19.9975
PM2.5,8.775000,5.000000,0.000000,-0.000282,43.8756,0.0000,19.9975
PM2.5,8.850000,5.000000,0.000000,-0.000282,44.2506,0.0000,19.9975
PM2.5,8.925000,5.000000,0.000000,-0.000282,44.6256,0.0000,19.9975
PM2.5,9.000000,5.000000,0.000000,-0.000282,45.0006,0.0000,19.9975
PM2.5,9.075000,5.000000,0.000000,-0.000282,45.3756,0.0000,19.9974
PM2.5,9.150000,5.000000,0.000000,-0.000282,45.7506,0.0000,19.9974
PM2.5,9.225000,5.000000,0.000000,-0.000282,46.1256,0.0000,19.9974
PM2.5,9.300000,5.000000,0.000000,-0.000282,46.5006,0.0000,19.9974
PM2.5,9.375000,5.000000,0.000000,-0.000282,46.8756,0.0000,19.9974
PM2.5,9.450000,5.000000,0.000000,-0.000282,47.2506,0.0000,19.9973
PM2.5,9.525000,5.000000,0.000000,-0.000282,47.6256,0.0000,19.9973
PM2.5,9.600000,5.000000,0.000000,-0.000282,48.0006,0.0000,19.9973
PM2.5,9.675000,5.000000,0.000000,-0.000282,48.3756,0.0000,19.9973
PM2.5,9.750000,5.000000,0.000000,-0.000282,48.7506,0.0000,19.9973
PM2.5,9.825000,5.000000,0.000000,-0.000282,49.1256,0.0000,19.9972
PM2.5,9.900000,5.000000,0.000000,-0.000282,49.5006,0.0000,19.9972
PM2.5,9.975000,5.000000,0.000000,-0.000282,49.8756,0.0000,19.9972
PM2.5,10.050000,5.000000,0.000000,-0.000282,50.2506,0.0000,19.9972
PM2.5,10.125000,5.000000,0.000000,-0.000282,50.6256,0.0000,19.9971
PM2.5,10.200000,5.000000,0.000000,-0.000282,51.0006,0.0000,19.9971
PM2.5,10.275000,5.000000,0.000000,-0.000282,51.3756,0.0000,19.9971
PM2.5,10.350000,5.000000,0.000000,-0.000282,51.7506,0.0000,19.9971
PM2.5,10.425000,5.000000,0.000000,-0.000282,52.1256,0.0000,19.9971
PM2.5,10.500000,5.000000,0.000000,-0.000282,52.5006,0.0000,19.9970
PM2.5,10.575000,5.000000,0.000000,-0.000282,52.8756,0.0000,19.9970
PM2.5,10.650000,5.000000,0.000000,-0.000282,53.2506,0.0000,19.9970
PM2.5,10.725000,5.000000,0.000000,-0.000282,53.6256,0.0000,19.9970
PM2.5,10.800000,5.000000,0.000000,-0.000282,54.0006,0.0000,19.9970
PM2.5,10.875000,5.000000,0.000000,-0.000282,54.3756,0.0000,19.9969
PM2.5,10.950000,5.000000,0.000000,-0.000282,54.7506,0.0000,19.9969
PM2.5,11.025000,5.000000,0.000000,-0.000282,55.1256,0.0000,19.9969
PM2.5,11.100000,5.000000,0.000000,-0.000282,55.5006,0.0000,19.9969
PM2.5,11.175000,5.000000,0.000000,-0.000282,55.8756,0.0000,19.9969
PM2.5,11.250000,5.000000,0.000000,-0.000282,56.2506,0.0000,19.9968
PM2.5,11.325000,5.000000,0.000000,-0.000282,56.6256,0.0000,19.9968
PM2.5,11.400000,5.000000,0.000000,-0.000282,57.0006,0.0000,19.9968
PM2.5,11.475000,5.000000,0.000000,-0.000282,57.3756,0.0000,19.9968
PM2.5,11.550000,5.000000,0.000000,-0.000282,57.7506,0.0000,19.9967
